Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,получение средств,3741.49,безналичный,Минск,Приорбанк-HGMP-569,17-09-2007,04:56:04,успешно,нет,0.0
физ. лицо,получение средств,2260.34,безналичный,Брест,МаксБанк-EMSD-615,14-04-2020,13:56:26,успешно,нет,0.0
физ. лицо,получение средств,2654.59,безналичный,Могилев,Приорбанк-FDWF-982,25-03-2013,09:50:29,успешно,нет,0.0
физ. лицо,получение средств,3426.84,безналичный,Брест,МаксБанк-WKIG-819,11-09-2019,04:07:40,успешно,нет,0.0
юр. лицо,получение средств,1121.82,безналичный,Минск,БелАгропромбанк-GFUN-047,27-03-2003,12:27:16,успешно,нет,0.0
юр. лицо,получение средств,90.84,безналичный,Могилев,Приорбанк-KEMI-684,02-02-2022,15:51:21,успешно,нет,0.0
физ. лицо,списание средств,4655.8,безналичный,Витебск,Приорбанк-REIA-279,08-04-2023,06:38:29,недостаточно средств,да,353.75
физ. лицо,получение средств,1718.06,наличный,Брест,БелАгропромбанк-HIQJ-909,04-11-2024,05:30:37,успешно,нет,0.0
физ. лицо,списание средств,4883.64,наличный,Гродно,МаксБанк-WPRE-202,12-10-2024,18:21:37,недостаточно средств,да,361.42
физ. лицо,получение средств,4889.01,наличный,Гродно,Приорбанк-GGGH-948,29-11-2021,08:19:04,успешно,нет,0.0
юр. лицо,списание средств,3390.91,безналичный,Минск,БелАгропромбанк-IPKK-957,11-02-2015,01:06:16,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1174.91,безналичный,Витебск,Беларусбанк-VGGU-579,01-12-2003,00:41:08,успешно,да,12.66
юр. лицо,получение средств,366.08,безналичный,Витебск,БелАгропромбанк-CIVT-930,17-09-2007,01:15:38,успешно,нет,0.0
физ. лицо,получение средств,4556.17,безналичный,Витебск,МаксБанк-NANE-458,15-11-2022,16:48:35,успешно,нет,0.0
физ. лицо,получение средств,607.6,наличный,Брест,Беларусбанк-ANXJ-495,02-01-2023,01:54:42,успешно,нет,0.0
физ. лицо,получение средств,1378.81,безналичный,Гродно,МаксБанк-CTAL-494,09-07-2021,21:15:47,успешно,нет,0.0
юр. лицо,списание средств,1376.3,безналичный,Минск,Беларусбанк-IBZP-702,10-09-2006,10:52:42,недостаточно средств,да,58.62
физ. лицо,списание средств,2124.59,наличный,Гродно,БелАгропромбанк-RLET-112,04-10-2020,02:53:30,успешно,да,30.86
физ. лицо,списание средств,3016.41,безналичный,Минск,Беларусбанк-WPMU-380,27-02-2016,08:56:02,успешно,да,257.44
физ. лицо,получение средств,4156.54,наличный,Гомель,Приорбанк-MPYC-821,10-01-2021,04:53:10,успешно,нет,0.0
физ. лицо,получение средств,2702.65,наличный,Витебск,Белинвестбанк-VKUD-859,21-10-2006,09:06:34,успешно,нет,0.0
физ. лицо,получение средств,707.44,наличный,Минск,МаксБанк-MHKS-236,25-01-2002,18:13:58,успешно,нет,0.0
физ. лицо,получение средств,4047.58,наличный,Брест,БелАгропромбанк-UFIO-599,03-10-2023,15:15:23,успешно,нет,0.0
юр. лицо,списание средств,1454.55,безналичный,Брест,Приорбанк-EMBT-826,24-11-2016,16:20:21,успешно,нет,0.0
юр. лицо,списание средств,3923.68,безналичный,Витебск,Приорбанк-ZSZL-388,03-01-2008,06:14:49,успешно,нет,0.0
физ. лицо,списание средств,1802.76,безналичный,Могилев,Беларусбанк-YWCG-756,19-07-2018,09:44:11,успешно,нет,0.0
юр. лицо,получение средств,3031.4,безналичный,Витебск,Белинвестбанк-OUUA-831,04-11-2018,19:03:12,успешно,нет,0.0
юр. лицо,получение средств,1176.48,безналичный,Минск,Приорбанк-UNDK-934,25-11-2023,00:03:48,успешно,нет,0.0
физ. лицо,получение средств,1177.82,безналичный,Могилев,МаксБанк-KCKV-797,23-12-2007,15:00:00,успешно,нет,0.0
физ. лицо,получение средств,3936.91,безналичный,Брест,Приорбанк-SDYS-733,10-10-2022,21:32:38,успешно,нет,0.0
физ. лицо,получение средств,1621.59,безналичный,Гомель,Беларусбанк-TNQU-299,23-02-2014,05:16:03,успешно,нет,0.0
юр. лицо,получение средств,1614.16,наличный,Гродно,МаксБанк-YVWD-836,03-07-2014,17:22:28,успешно,нет,0.0
юр. лицо,списание средств,1921.8,наличный,Минск,БелАгропромбанк-NMBE-343,06-12-2022,00:10:54,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,2285.03,безналичный,Брест,Беларусбанк-KFMY-800,11-07-2011,01:48:47,успешно,нет,0.0
юр. лицо,списание средств,825.93,наличный,Гомель,МаксБанк-VBHY-206,10-03-2019,13:49:11,недостаточно средств,да,58.51
юр. лицо,списание средств,581.13,наличный,Гомель,Белинвестбанк-BDOP-934,08-12-2009,23:57:38,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4777.24,безналичный,Брест,Беларусбанк-EKWO-505,22-08-2011,21:45:30,успешно,нет,0.0
физ. лицо,получение средств,4479.93,безналичный,Гомель,Белинвестбанк-GXHR-854,17-12-2022,01:32:45,успешно,нет,0.0
физ. лицо,получение средств,4259.19,безналичный,Могилев,Приорбанк-PXAZ-554,01-12-2008,13:31:29,успешно,нет,0.0
юр. лицо,списание средств,4660.32,наличный,Гомель,МаксБанк-VWSE-562,18-03-2023,09:56:13,неправильный ввод пин-кода,да,424.63
физ. лицо,получение средств,3995.72,наличный,Витебск,Белинвестбанк-QVOO-475,21-07-2013,11:00:54,успешно,нет,0.0
юр. лицо,получение средств,827.86,безналичный,Гродно,Белинвестбанк-WPYW-510,18-09-2020,02:59:07,успешно,нет,0.0
физ. лицо,списание средств,157.42,наличный,Могилев,МаксБанк-XNUW-483,30-12-2002,22:31:03,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1710.37,безналичный,Брест,Белинвестбанк-ATDL-535,21-06-2000,16:11:04,успешно,нет,0.0
юр. лицо,списание средств,4798.1,наличный,Могилев,Приорбанк-JTCG-335,02-11-2024,22:30:32,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,337.22,наличный,Гомель,Приорбанк-HMJT-408,13-09-2024,16:24:54,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,461.48,безналичный,Брест,Беларусбанк-EMRV-470,22-08-2012,16:52:36,успешно,нет,0.0
физ. лицо,списание средств,1111.41,наличный,Гомель,МаксБанк-AZNJ-078,16-05-2015,04:20:02,неправильный ввод пин-кода,да,37.84
физ. лицо,списание средств,2240.42,безналичный,Гомель,Белинвестбанк-PRNI-988,25-08-2009,04:56:21,успешно,нет,0.0
юр. лицо,списание средств,1299.04,наличный,Витебск,Белинвестбанк-TRFF-841,07-02-2020,02:36:21,успешно,да,95.25
физ. лицо,списание средств,4313.09,наличный,Могилев,Приорбанк-GCOC-360,23-12-2010,09:42:05,успешно,да,399.74
юр. лицо,получение средств,2554.52,безналичный,Гродно,Белинвестбанк-WTBJ-530,19-11-2012,16:12:09,успешно,нет,0.0
юр. лицо,списание средств,1199.13,безналичный,Могилев,Беларусбанк-RPYF-118,11-08-2006,18:53:08,неправильный ввод пин-кода,да,37.11
юр. лицо,получение средств,3989.75,безналичный,Гродно,МаксБанк-QUAH-763,07-10-2022,14:12:13,успешно,нет,0.0
юр. лицо,списание средств,1438.3,наличный,Гродно,Беларусбанк-ESVG-209,18-02-2009,01:11:43,успешно,нет,0.0
физ. лицо,списание средств,1404.74,безналичный,Минск,Приорбанк-SJCX-300,06-10-2004,22:35:54,недостаточно средств,да,114.8
юр. лицо,списание средств,2790.65,безналичный,Гомель,Белинвестбанк-PTRU-269,23-03-2021,09:32:50,успешно,нет,0.0
юр. лицо,получение средств,2347.32,безналичный,Гомель,БелАгропромбанк-ZTQH-989,16-10-2002,11:17:06,успешно,нет,0.0
юр. лицо,получение средств,1251.66,безналичный,Гомель,Беларусбанк-JRHI-961,10-04-2012,00:49:08,успешно,нет,0.0
физ. лицо,списание средств,4812.8,наличный,Брест,МаксБанк-NUWJ-127,14-10-2012,02:21:39,недостаточно средств,да,163.66
юр. лицо,получение средств,3114.74,безналичный,Гомель,Приорбанк-MTXB-857,25-01-2007,10:42:30,успешно,нет,0.0
физ. лицо,списание средств,858.69,наличный,Гомель,БелАгропромбанк-MXEX-416,27-10-2006,18:07:04,успешно,да,70.22
юр. лицо,списание средств,1502.69,наличный,Минск,Приорбанк-SBWS-102,04-05-2020,09:26:44,недостаточно средств,нет,0.0
юр. лицо,получение средств,1590.85,безналичный,Минск,Приорбанк-LWCI-996,11-01-2001,06:38:33,успешно,нет,0.0
юр. лицо,получение средств,808.01,наличный,Минск,БелАгропромбанк-GUSQ-842,16-02-2015,05:32:15,успешно,нет,0.0
юр. лицо,списание средств,267.58,безналичный,Брест,Беларусбанк-TUFJ-557,24-05-2015,07:46:58,недостаточно средств,да,7.04
физ. лицо,списание средств,1464.64,безналичный,Брест,Приорбанк-BBHL-349,15-10-2015,13:39:47,успешно,да,30.47
физ. лицо,списание средств,526.99,безналичный,Могилев,БелАгропромбанк-MBFI-038,26-05-2001,12:53:28,недостаточно средств,да,40.23
юр. лицо,списание средств,1288.01,безналичный,Гомель,МаксБанк-TUMR-428,05-02-2014,16:47:40,успешно,да,35.26
физ. лицо,списание средств,3437.03,наличный,Минск,Белинвестбанк-CCFQ-438,07-04-2006,05:17:42,неправильный ввод пин-кода,да,271.54
юр. лицо,получение средств,1750.81,безналичный,Минск,Приорбанк-KPTC-562,20-05-2007,18:47:28,успешно,нет,0.0
физ. лицо,списание средств,2600.22,безналичный,Гомель,Белинвестбанк-RYMN-974,10-03-2001,23:04:51,недостаточно средств,да,106.33
юр. лицо,списание средств,4728.58,безналичный,Витебск,Беларусбанк-RDEZ-220,21-02-2020,04:57:33,недостаточно средств,нет,0.0
физ. лицо,получение средств,4038.23,безналичный,Витебск,Белинвестбанк-PMKE-832,28-07-2015,05:03:56,успешно,нет,0.0
физ. лицо,получение средств,298.37,безналичный,Гомель,Белинвестбанк-RJMT-599,05-05-2021,21:24:22,успешно,нет,0.0
юр. лицо,списание средств,2102.75,безналичный,Минск,Приорбанк-PRFL-726,24-03-2011,16:49:06,успешно,нет,0.0
юр. лицо,получение средств,2841.72,наличный,Витебск,БелАгропромбанк-BAIR-827,14-01-2017,17:42:45,успешно,нет,0.0
юр. лицо,получение средств,1511.6,безналичный,Минск,Белинвестбанк-TUPU-620,28-03-2002,03:31:40,успешно,нет,0.0
физ. лицо,списание средств,2354.2,безналичный,Гомель,Беларусбанк-JWPM-042,19-10-2006,06:00:39,недостаточно средств,да,54.12
юр. лицо,списание средств,1996.3,безналичный,Витебск,Белинвестбанк-HXMM-897,24-03-2006,14:22:16,недостаточно средств,нет,0.0
физ. лицо,получение средств,1780.77,наличный,Гомель,БелАгропромбанк-INRK-453,15-06-2000,15:53:18,успешно,нет,0.0
физ. лицо,получение средств,4829.43,безналичный,Гродно,Приорбанк-DOCO-036,29-05-2017,09:10:52,успешно,нет,0.0
юр. лицо,получение средств,1239.5,наличный,Витебск,Беларусбанк-LFQP-857,08-08-2002,07:03:52,успешно,нет,0.0
юр. лицо,получение средств,2235.74,наличный,Гомель,Приорбанк-KXBT-927,12-02-2022,17:57:55,успешно,нет,0.0
юр. лицо,списание средств,3106.62,безналичный,Могилев,Белинвестбанк-SXSV-394,21-07-2007,21:44:06,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3627.79,безналичный,Могилев,Приорбанк-WPCM-663,10-10-2021,21:44:34,успешно,нет,0.0
физ. лицо,получение средств,557.35,безналичный,Брест,Белинвестбанк-KIFB-641,28-11-2012,02:44:30,успешно,нет,0.0
юр. лицо,получение средств,212.03,безналичный,Минск,Беларусбанк-KZAC-838,07-04-2004,08:48:20,успешно,нет,0.0
юр. лицо,получение средств,2690.05,наличный,Минск,Белинвестбанк-BDVY-886,02-06-2010,16:11:06,успешно,нет,0.0
физ. лицо,списание средств,547.26,безналичный,Витебск,Белинвестбанк-PHEI-845,10-03-2010,19:55:28,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3394.39,наличный,Гродно,МаксБанк-SLWC-456,21-12-2007,03:55:19,успешно,нет,0.0
физ. лицо,получение средств,3755.54,безналичный,Минск,Беларусбанк-JWIL-570,04-03-2000,20:05:48,успешно,нет,0.0
юр. лицо,получение средств,1807.91,безналичный,Могилев,Белинвестбанк-CLEE-665,25-08-2009,19:01:14,успешно,нет,0.0
юр. лицо,получение средств,440.12,наличный,Гомель,МаксБанк-OJEF-603,05-05-2020,18:23:23,успешно,нет,0.0
юр. лицо,списание средств,4596.2,безналичный,Витебск,Белинвестбанк-HUDW-847,05-10-2022,10:30:05,успешно,да,192.58
физ. лицо,получение средств,913.83,безналичный,Минск,БелАгропромбанк-XBPG-828,13-05-2013,17:34:29,успешно,нет,0.0
физ. лицо,получение средств,695.07,наличный,Гомель,Беларусбанк-VWIF-532,18-04-2018,00:33:20,успешно,нет,0.0
физ. лицо,получение средств,1509.84,наличный,Гомель,БелАгропромбанк-AWJP-370,27-01-2007,13:08:04,успешно,нет,0.0
юр. лицо,получение средств,4139.09,безналичный,Витебск,МаксБанк-JBHJ-968,22-10-2000,09:21:09,успешно,нет,0.0
юр. лицо,списание средств,468.29,безналичный,Минск,Приорбанк-HSNO-141,18-11-2023,23:05:51,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1444.54,безналичный,Могилев,Приорбанк-KIAA-845,07-10-2013,21:08:21,успешно,да,29.4
юр. лицо,списание средств,4128.13,безналичный,Гомель,Белинвестбанк-ZIKY-575,05-07-2002,11:24:08,недостаточно средств,нет,0.0
физ. лицо,получение средств,275.03,безналичный,Витебск,БелАгропромбанк-KHZO-958,06-04-2018,14:16:44,успешно,нет,0.0
юр. лицо,получение средств,4166.93,безналичный,Минск,Приорбанк-EWPI-159,18-04-2017,12:53:18,успешно,нет,0.0
юр. лицо,списание средств,3626.0,безналичный,Брест,Белинвестбанк-NCCL-092,20-06-2008,01:48:54,недостаточно средств,да,102.4
юр. лицо,получение средств,4202.87,наличный,Витебск,БелАгропромбанк-NFLS-276,03-05-2008,21:40:56,успешно,нет,0.0
юр. лицо,списание средств,2016.89,наличный,Гродно,БелАгропромбанк-GRPD-026,02-04-2020,19:31:57,неправильный ввод пин-кода,да,176.17
юр. лицо,списание средств,3318.08,безналичный,Минск,МаксБанк-PXQB-055,09-06-2003,15:37:11,неправильный ввод пин-кода,да,166.84
юр. лицо,получение средств,2805.39,безналичный,Витебск,Беларусбанк-WELF-883,16-04-2008,00:43:24,успешно,нет,0.0
юр. лицо,получение средств,3417.93,наличный,Витебск,Беларусбанк-YTXN-600,12-06-2002,11:33:22,успешно,нет,0.0
юр. лицо,получение средств,415.68,наличный,Гродно,Приорбанк-OOGT-312,24-12-2019,21:01:19,успешно,нет,0.0
физ. лицо,получение средств,79.2,наличный,Минск,БелАгропромбанк-TLWX-170,08-06-2012,12:32:43,успешно,нет,0.0
физ. лицо,получение средств,3292.77,безналичный,Брест,Беларусбанк-JDAW-958,10-10-2008,22:00:18,успешно,нет,0.0
юр. лицо,получение средств,3286.27,наличный,Витебск,Приорбанк-RECK-499,22-06-2023,18:28:56,успешно,нет,0.0
юр. лицо,списание средств,1684.46,наличный,Витебск,МаксБанк-NNCG-145,23-06-2019,20:52:36,успешно,нет,0.0
физ. лицо,списание средств,4286.98,наличный,Витебск,Белинвестбанк-YCBR-225,04-02-2010,03:12:42,недостаточно средств,нет,0.0
юр. лицо,списание средств,764.05,безналичный,Брест,Белинвестбанк-RPVL-287,29-09-2021,01:54:07,успешно,нет,0.0
физ. лицо,списание средств,3592.39,безналичный,Гродно,Приорбанк-LTNW-524,14-05-2019,20:40:38,недостаточно средств,нет,0.0
физ. лицо,списание средств,4520.66,безналичный,Минск,Беларусбанк-PJDO-112,26-07-2021,10:40:01,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,2866.18,наличный,Брест,МаксБанк-KEQJ-435,16-01-2019,02:23:04,успешно,нет,0.0
юр. лицо,получение средств,177.77,наличный,Минск,Приорбанк-JHUJ-303,18-11-2019,01:03:58,успешно,нет,0.0
юр. лицо,получение средств,1253.04,безналичный,Гомель,МаксБанк-GAAY-118,26-02-2021,10:08:29,успешно,нет,0.0
физ. лицо,списание средств,3459.19,наличный,Могилев,Приорбанк-NMIB-282,18-08-2022,08:27:53,недостаточно средств,да,281.13
юр. лицо,получение средств,1377.31,безналичный,Гродно,Приорбанк-LLSF-163,06-06-2016,09:17:24,успешно,нет,0.0
физ. лицо,получение средств,4151.49,наличный,Брест,Беларусбанк-QUVG-219,24-03-2017,19:20:07,успешно,нет,0.0
физ. лицо,списание средств,3836.53,безналичный,Гомель,Белинвестбанк-PZHY-002,25-01-2001,17:35:56,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3659.72,безналичный,Минск,МаксБанк-IFWT-977,14-04-2019,11:46:20,успешно,нет,0.0
юр. лицо,списание средств,1775.65,наличный,Могилев,БелАгропромбанк-ULVZ-933,24-04-2024,03:54:18,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,2126.98,безналичный,Могилев,Белинвестбанк-OBBB-603,19-03-2019,23:21:37,успешно,нет,0.0
юр. лицо,получение средств,4220.29,безналичный,Могилев,БелАгропромбанк-IOWC-924,10-02-2014,06:47:06,успешно,нет,0.0
юр. лицо,списание средств,3435.82,безналичный,Могилев,Беларусбанк-ADHN-336,13-03-2010,02:07:46,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1276.31,безналичный,Гродно,МаксБанк-VLLO-073,19-12-2004,07:25:19,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,594.09,безналичный,Гомель,Приорбанк-TXEL-199,01-03-2018,10:43:14,недостаточно средств,да,48.65
физ. лицо,получение средств,2550.17,безналичный,Могилев,Приорбанк-NPFF-101,15-01-2012,17:22:40,успешно,нет,0.0
юр. лицо,списание средств,776.94,безналичный,Витебск,Приорбанк-JUHG-797,19-11-2022,04:50:03,неправильный ввод пин-кода,да,10.35
юр. лицо,получение средств,2444.55,безналичный,Минск,Приорбанк-XCRO-051,23-04-2017,03:58:35,успешно,нет,0.0
физ. лицо,списание средств,871.42,безналичный,Брест,БелАгропромбанк-MMDW-539,04-09-2017,22:30:55,успешно,нет,0.0
физ. лицо,получение средств,4373.58,наличный,Витебск,Приорбанк-HGGJ-582,08-04-2012,21:21:51,успешно,нет,0.0
юр. лицо,получение средств,3859.33,безналичный,Брест,Беларусбанк-HSEV-584,09-06-2000,12:24:45,успешно,нет,0.0
физ. лицо,списание средств,68.99,наличный,Могилев,Белинвестбанк-HPCY-023,01-08-2023,00:53:30,недостаточно средств,нет,0.0
физ. лицо,списание средств,1879.37,наличный,Гродно,Беларусбанк-BRJH-241,05-03-2009,19:27:01,успешно,да,35.85
юр. лицо,получение средств,4209.45,безналичный,Брест,Белинвестбанк-CIZJ-934,12-03-2023,11:38:16,успешно,нет,0.0
физ. лицо,получение средств,4722.56,безналичный,Могилев,МаксБанк-PGBC-525,22-11-2021,11:00:13,успешно,нет,0.0
юр. лицо,списание средств,390.41,наличный,Гродно,Белинвестбанк-ERTN-803,05-02-2002,04:50:46,успешно,да,26.79
юр. лицо,списание средств,286.21,безналичный,Гродно,МаксБанк-ILMV-582,14-08-2005,03:43:53,неправильный ввод пин-кода,да,18.73
физ. лицо,списание средств,2062.36,безналичный,Витебск,Беларусбанк-NYKK-496,25-03-2002,15:39:28,неправильный ввод пин-кода,да,147.54
юр. лицо,списание средств,671.02,наличный,Гомель,Беларусбанк-QMNS-538,19-04-2010,12:10:30,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,1001.03,безналичный,Гомель,БелАгропромбанк-MPDZ-996,15-11-2001,21:11:58,успешно,нет,0.0
юр. лицо,получение средств,4168.29,наличный,Витебск,БелАгропромбанк-KXQC-579,26-02-2019,16:31:56,успешно,нет,0.0
физ. лицо,получение средств,3289.18,наличный,Брест,Беларусбанк-VKXN-410,12-12-2023,21:19:30,успешно,нет,0.0
юр. лицо,получение средств,2151.35,безналичный,Гродно,Белинвестбанк-MVQP-573,04-10-2000,03:57:32,успешно,нет,0.0
юр. лицо,списание средств,1278.58,безналичный,Могилев,БелАгропромбанк-OFRR-486,17-02-2017,00:55:10,неправильный ввод пин-кода,да,54.18
физ. лицо,списание средств,1362.07,безналичный,Минск,Белинвестбанк-LLWG-826,13-10-2018,21:32:43,неправильный ввод пин-кода,да,119.39
юр. лицо,списание средств,4412.78,наличный,Гродно,Беларусбанк-QJNV-843,31-08-2019,17:30:53,успешно,нет,0.0
юр. лицо,получение средств,4211.93,безналичный,Минск,Беларусбанк-LIBE-390,22-05-2008,00:46:09,успешно,нет,0.0
физ. лицо,получение средств,1961.5,безналичный,Могилев,Беларусбанк-AUIU-935,24-11-2011,07:14:18,успешно,нет,0.0
физ. лицо,получение средств,224.88,наличный,Минск,Приорбанк-EOLV-054,26-02-2005,04:54:55,успешно,нет,0.0
физ. лицо,получение средств,2487.49,наличный,Гродно,МаксБанк-QPBO-343,22-02-2001,16:19:12,успешно,нет,0.0
физ. лицо,списание средств,46.04,безналичный,Брест,МаксБанк-CNSZ-264,31-08-2021,17:48:47,недостаточно средств,нет,0.0
юр. лицо,списание средств,4406.31,безналичный,Брест,Приорбанк-YKDM-309,08-08-2015,03:37:25,недостаточно средств,нет,0.0
физ. лицо,получение средств,4670.01,наличный,Гродно,Беларусбанк-ESSG-901,22-08-2005,21:59:17,успешно,нет,0.0
юр. лицо,списание средств,4018.07,наличный,Минск,БелАгропромбанк-AHJV-926,04-07-2019,14:36:52,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,131.44,безналичный,Могилев,БелАгропромбанк-SUOR-651,28-05-2003,05:13:59,недостаточно средств,да,10.73
